,Exchange,Coin,Pair,Volume
226,Binance,Ethlend,LEND/BTC,131787
227,Binance,Ethos,BQX/BTC,1303365
228,Bittrex,Europecoin,ERC/BTC,225
229,Binance,Everex,EVX/BTC,82684
230,Bittrex,Evergreencoin,EGC/BTC,15995
231,Bitfinex,Everipedia,IQX/BTC,5604
232,Okex,Exchange union,XUC/BTC,1781
233,Hitbtc,Exchangen,EXN/BTC,196
234,Bittrex,Exclusivecoin,EXCL/BTC,2200
235,Bittrex,Expanse,EXP/BTC,19402
236,Kucoin,Experty,EXY/BTC,66849
237,Hitbtc,Faceter,FACE/BTC,32569
238,Poloniex,Factom,FCT/BTC,81581
239,Okex,Fairgame,FAIR/BTC,89952
240,Hitbtc,Fantomcoin,FCN/BTC,487
241,Bittrex,Feathercoin,FTC/BTC,3996
242,Hitbtc,Fintrux network,FTX/BTC,3952
243,Okex,Firstblood,1ST/BTC,459495
244,Hitbtc,Flip,FLP/BTC,106
245,Kucoin,Flixxo,FLIXX/BTC,260
246,Bittrex,Flo,FLO/BTC,52278
247,Hitbtc,Flypme,FYP/BTC,2924
248,Bittrex,Foldingcoin,FLDC/BTC,9997
249,Kucoin,Fortuna,FOTA/BTC,176882
250,Hitbtc,Freyrchain,FREC/BTC,1709684
251,Hitbtc,Friendz,FDZ/BTC,232
252,Hitbtc,Fujinto,NTO/BTC,71
253,Binance,Funfair,FUN/BTC,297518
254,Hitbtc,Fuzex,FXT/BTC,30001
255,Bittrex,Gambit,GAM/BTC,478
256,Okex,Game.com,GTC/BTC,312985
257,Poloniex,Gamecredits,GAME/BTC,47273
258,Okex,Gas,GAS/BTC,439317
259,Kucoin,Gatcoin,GAT/BTC,970
260,Okex,Genaro network,GNX/BTC,347088
261,Binance,Genesis vision,GVT/BTC,517700
262,Bittrex,Geocoin,GEO/BTC,8865
263,Okex,Gifto,GTO/BTC,4756769
264,Kucoin,Gladius token,GLA/BTC,888
265,Okex,Global social chain,GSC/BTC,34122
266,Kraken,Gnosis,GNO/BTC,15879
267,Hitbtc,Gobyte,GBX/BTC,1518
268,Kucoin,Gochain,GO/BTC,186426
269,Bittrex,Goldcoin,GLD/BTC,7193
270,Binance,Golem,GNT/BTC,173234
271,Bittrex,Golos,GOLOS/BTC,1120
272,Bittrex,Golos gold,GBG/BTC,2639
273,Hitbtc,Greenmed,GRMD/BTC,1524
274,Bittrex,Gridcoin,GRC/BTC,2024
275,Binance,Groestlcoin,GRS/BTC,191002
276,Bittrex,Gulden,NLG/BTC,26817
277,Binance,Gxchain,GXS/BTC,62698
278,Kucoin,Hacken,HKN/BTC,4464
279,Hitbtc,Hackspace capital,HAC/BTC,0
280,Hitbtc,Happycoin,HPC/BTC,54
281,Kucoin,Havven,HAV/BTC,166086
282,Hitbtc,Helbiz,HBZ/BTC,20
283,Bittrex,Hempcoin,THC/BTC,5568
284,Hitbtc,Hero,HERO/BTC,26
285,Kucoin,Herocoin,PLAY/BTC,37380
286,Okex,Hi mutual society,HMC/BTC,105703
